alpha,algorithm,round,accuracy,model_variance_mean,g_protos_std
0.05,OursV4,0,0.2829,0.000509,1.00606
0.05,OursV5,0,0.2900,0.000508,1.00530
0.05,OursV4,1,0.3450,0.000643,1.00608
0.05,OursV5,1,0.3180,0.000639,1.00424
0.05,OursV4,10,0.4973,0.001430,1.00622
0.05,OursV5,10,0.4986,0.001411,0.99315
0.05,OursV4,20,0.5784,0.002012,1.00636
0.05,OursV5,20,0.5867,0.002001,0.97941
0.05,OursV4,30,0.6238,0.002477,1.00648
0.05,OursV5,30,0.6136,0.002471,0.96494
0.05,OursV4,40,0.6384,0.002880,1.00661
0.05,OursV5,40,0.6481,0.002877,0.95014
0.05,OursV4,50,0.6697,0.003234,1.00672
0.05,OursV5,50,0.6744,0.003239,0.93532
0.1,OursV4,0,0.3132,0.000554,1.00604
0.1,OursV5,0,0.3112,0.000557,1.00510
0.1,OursV4,1,0.3487,0.000719,1.00605
0.1,OursV5,1,0.3579,0.000719,1.00372
0.1,OursV4,10,0.5465,0.001613,1.00621
0.1,OursV5,10,0.5331,0.001596,0.99024
0.1,OursV4,20,0.6534,0.002278,1.00637
0.1,OursV5,20,0.6477,0.002278,0.97357
0.1,OursV4,30,0.7024,0.002816,1.00651
0.1,OursV5,30,0.7102,0.002818,0.95639
0.1,OursV4,40,0.7321,0.003283,1.00664
0.1,OursV5,40,0.7389,0.003285,0.93905
0.1,OursV4,50,0.7610,0.003697,1.00676
0.1,OursV5,50,0.7613,0.003703,0.92177
0.3,OursV4,0,0.3037,0.000623,1.00599
0.3,OursV5,0,0.2968,0.000614,1.00444
0.3,OursV4,1,0.4074,0.000849,1.00598
0.3,OursV5,1,0.3819,0.000835,1.00237
0.3,OursV4,10,0.6587,0.002061,1.00611
0.3,OursV5,10,0.6592,0.002041,0.98296
0.3,OursV4,20,0.7430,0.002954,1.00626
0.3,OursV5,20,0.7420,0.002940,0.96044
0.3,OursV4,30,0.7967,0.003672,1.00641
0.3,OursV5,30,0.7889,0.003656,0.93780
0.3,OursV4,40,0.8192,0.004284,1.00656
0.3,OursV5,40,0.8236,0.004270,0.91547
0.3,OursV4,50,0.8390,0.004826,1.00671
0.3,OursV5,50,0.8407,0.004818,0.89341
0.5,OursV4,0,0.4045,0.000661,1.00595
0.5,OursV5,0,0.3948,0.000666,1.00398
0.5,OursV4,1,0.4704,0.000909,1.00593
0.5,OursV5,1,0.4676,0.000921,1.00149
0.5,OursV4,10,0.7366,0.002296,1.00603
0.5,OursV5,10,0.7436,0.002306,0.97872
0.5,OursV4,20,0.8155,0.003303,1.00618
0.5,OursV5,20,0.8090,0.003307,0.95254
0.5,OursV4,30,0.8474,0.004107,1.00636
0.5,OursV5,30,0.8467,0.004101,0.92656
0.5,OursV4,40,0.8611,0.004792,1.00654
0.5,OursV5,40,0.8701,0.004784,0.90095
0.5,OursV4,50,0.8769,0.005401,1.00673
0.5,OursV5,50,0.8772,0.005393,0.87582